Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
54390224,"Slam Dunk, Vol. 9",Takehiko Inoue,"Inoue, Takehiko",Manuela Capriati,"=""8891294292""","=""9788891294296""",4,4.68,Panini Comics - Planet Manga,Paperback,368,2020,2018,2020/07/09,2020/07/09,,,read,,,,1,,,0,,,,,
54471186,One-Punch Man vol. 21,ONE,"ONE, ONE",,"=""""","=""9788891292346""",2,4.27,Planet Manga,Paperback,240,2020,2019,2020/08/14,2020/08/14,,,read,,,,1,,,0,,,,,
54540976,Sulle tracce di Jack lo Squartatore,Kerri Maniscalco,"Maniscalco, Kerri",Maura Dalai,"=""8804724056""","=""9788804724056""",1,3.99,Mondadori,Hardcover,369,2020,2016,2020/09/05,2020/08/26,cant-finish,cant-finish (#4),read,"<a href=""https://www.artedellalettura.it/5-recensioni-brevi-di-libri-che-non-ho-finito/"" target=""_blank"">Recensione pubblicata originariamente sul mio blog Arte della Lettura</a><br/><br/>Questo libro l'ho letto in copia eARC e l'ho ricevuto gratuitamente dalla Oscar Mondadori, ma non per questo la mia opinione è stata influenzata (e difatti eccolo qui).<br/><br/>Sulle tracce di Jack lo Squartatore è il primo e probabilmente ultimo libro di Kerri Maniscalco che io abbia mai letto, anche se lo conoscevo da anni per via delle sue accattivanti edizioni in inglese. Non mi aspettavo un capolavoro, ma quantomeno un bel libro, visto il grande successo che ha riscontrato sia nel mondo inglese che da noi, quando è stato annunciato dalla Mondadori. Invece mi sono ritrovato a leggere un ""romanzo"" mal scritto e assolutamente imbarazzante, più simile a una fanfiction di bassa qualità che a un libro vero e proprio.<br/><br/>L'autrice ci tiene a farci presente che la protagonista è forte, indipendente e quant'altro più o meno dieci volte a pagina, perché non è in grado di scrivere qualcosa che effettivamente la renda un personaggio forte. A differenza di personaggi femminili davvero forti, come Arya Stark, Mia Corvere e Inej Ghafa, per citarne alcune, che sono personaggi forti non perché ce lo scrive l'autrice ogni riga, ma perché fanno cose che le rendono tali, in Sulle tracce di Jack lo Squartatore succede questo:<br/><br/>""Tizia prese la sua tazzina di ceramica cinese e, alzano il mignolo, sorseggiò la calda bevanda. Oh, quant'è forte tizia! È proprio una donna indipendente!""<br/><br/>Come se ciò non fosse abbastanza, dopo poche pagine l'autrice dà il via a una elaboratissima trama romance basata sul mai utilizzato e per nulla imbarazzante cliché del ""Lui è uno stronzo e lo odio, ma mi piace e lo vorrei"".<br/><br/>Sulle tracce di Jack lo Squartatore vince il premio ""Libro più imbarazzante che abbia mai provato a leggere"".<br/><br/><a href=""https://www.artedellalettura.it"" target=""_blank"">Altre recensioni sul mio blog Arte della Lettura</a>",,,1,,,0,,,,,
50909477,Nevernight. Alba oscura (Libro terzo degli accadimenti di Illuminotte),Jay Kristoff,"Kristoff, Jay",Gabriele Giorgi,"=""8804717971""","=""9788804717973""",3,4.33,Mondadori,Hardcover,524,2019,2019,2020/09/16,2020/09/05,,,read,"<a href=""https://www.artedellalettura.it/recensione-nevernight-alba-oscura-libro-terzo-kristoff/"">Recensione completa sul mio blog.</a><br/><br/><br/>Alba oscura è il terzo e ultimo libro della trilogia di Nevernight di Jay Kristoff. Stavolta finalmente l'epopea di Mia Corvere si conclude, oltretutto in modo molto meno pomposo di quel che mi aspettassi dopo 1500 pagine di attesa.<br/><br/>Come spesso faccio in caso di libri facenti parte di una saga, in questa recensione citerò spesso le mie due precedenti recensioni, quella di Mai dimenticare e quella di I grandi giochi.<br/><br/>Rispetto agli altri libri della trilogia, Alba oscura è il meno interessante e approfondito, pur essendo uno dei più lunghi. I capitoli sono pieni di riempimenti inutili, perdite di tempo insensate e scene di sesso fini a sé stesse.<br/><br/><b>Trama</b><br/><br/>La trama di Alba oscura è tale e quale quella dei libri precedenti: Mia Corvere deve vendicare la sua famiglia e uccidere della gente. Ce la farà in questo terzo libro?<br/><br/>In oltre cinquecento pagine non succede nulla di memorabile o di importante, se non qualche capitolo che parla del destino di Mia e di ciò che dovrà fare nel futuro prossimo.<br/>Scaeva, invisibile nemico di tutta la serie, fa finalmente la sua comparsa (per davvero, stavolta).<br/><br/>A parte questi piccoli eventi, il resto del libro è riempito ed allungato con storie brevi di poco conto, come la mini-avventura piratesca assolutamente fine a sé stessa.<br/><br/>Alba oscura, come anche i libri precedenti, è un libro molto ricco di colpi di scena, qui usati ed abusati per poter allungare il conteggio di parole. Per quanto possano essere interessanti e coinvolgenti, dopo un po' iniziano a essere quasi scontati.<br/><br/>La conclusione del libro non è assolutamente degna dell'attesa, e anzi l'ho trovata piuttosto noiosa.<br/><br/>[spoiler]Non capisco come un combattimento tra due esseri dalla forza incredibile ma uguale possa essere interessante. Non succede nulla di incredibile e, alla terza volta che l'autore mi dice che uno scaraventa l'altro dall'altra parte della stanza, inizio ad annoiarmi.[/spoiler]<br/><br/><b>WorldBuilding</b><br/><br/>In Alba oscura torniamo a Godsgrave e alla Chiesa Rossa, luoghi già conosciuti nei libri precedenti. Non abbiamo ulteriori approfondimenti e, ad eccezione di qualche breve ""rinfrescata di memoria"", le descrizioni sono ridotte al minimo.<br/><br/>Anche le note a piè di pagina molto presenti nella serie in questo libro sono ridotte all'osso.<br/><br/>Nella recensione di Mai dimenticare scrissi:<br/><br/>Le note a piè di pagina sono parecchie, alcune stravaganti e non utili ai fini della trama, ma molte aiutano a creare l’atmosfera del libro e del mondo di Nevernight, quindi non mi sono dispiaciute.<br/><br/>Invece, nella recensione di I grandi giochi scrissi questo:<br/><br/>Anche in questo capitolo tornano le note a piè di pagina scritte in prima persona dall’autore. Se nel primo libro non mi erano dispiaciute, in questo mi sono dovuto ricredere. Stavolta sono in numero minore, ma quando ci sono risultano essere troppo lunghe e logorroiche. Anziché approfondire l’universo di Nevernight spesso parlano di avvenimenti storici inutili ai fini della trama o dell’approfondimento.<br/><br/>In questo terzo libro le note a piè di pagina sono così poche da poterle contare sulle dita di una mano. La loro mancanza si sente, perché il libro scorre più fluido senza le continue interruzioni spesso superflue.<br/><br/><b>Personaggi</b><br/><br/>Il terzo capitolo della serie torna alle origini e, rispetto al secondo, non aggiunge o aggiorna nessun personaggio. I coprotagonisti sono i soliti, vecchi personaggi che già conosciamo dai libri precedenti, quindi da questo punto di vista non c'è alcuna novità.<br/><br/><spoiler>Verso la fine del libro l'autore sente il bisogno di eliminare un po' di personaggi, quindi li uccide un po' a casaccio. Tric è tornato dalla morte e per due libri aiuta Mia? Facciamo che prima dello scontro finale si uccide ancora (ma non era immortale poi?). Ci serve una scusa per far sì che Mia prenda il potere che la ucciderà? Uccidiamo a caso Ashlinn. Ma aspetta! Ci serve per il finale! Vabbé dai facciamo che risorge pure lei.</spoiler><br/><br/><b>Conclusioni</b><br/><br/>Finire questo libro è stato quasi faticoso, tanto è stato tirato per le lunghe. In definitiva penso sia una buona serie, molto godibile, ma decisamente troppo lunga per i pochi contenuti che effettivamente ha.",,,1,,,0,,,,,
55374674,"Slam Dunk, Vol. 12",Takehiko Inoue,"Inoue, Takehiko",Manuela Capriati,"=""8891295671""","=""9788891295675""",4,4.62,Panini Comics - Planet Manga,Paperback,264,2020,2018,2020/10/04,2020/10/01,,,read,,,,1,,,0,,,,,
55685278,"Slam Dunk, Vol. 13",Takehiko Inoue,"Inoue, Takehiko",Manuela Capriati,"=""889129618X""","=""9788891296184""",4,4.76,Panini Comics - Planet Manga,Paperback,232,2020,2018,2020/11/14,2020/11/14,,,read,,,,1,,,0,,,,,
49202872,Raccontati dopo cena,Jerome K. Jerome,"Jerome, Jerome K.",K.M. Skeaping,"=""8895437950""","=""9788895437958""",0,3.55,Caravaggio Editore,Paperback,160,2019,1891,2020/12/15,2020/12/13,,,read,,,,1,,,0,,,,,
16145395,Trans Europa Express,Paolo Rumiz,"Rumiz, Paolo",,"=""8807019272""","=""9788807019272""",0,3.82,Feltrinelli,Paperback,231,2012,2012,,2020/12/15,currently-reading,currently-reading (#2),currently-reading,,,,1,,,0,,,,,
55857419,Tinte fosche,Enrico De Luca,"Luca, Enrico De",Daniele Serra,"=""""","=""9788831456289""",3,4.33,Caravaggio Editore,Paperback,144,2020,,2020/11/24,2020/11/22,,,read,"<a href=""https://www.artedellalettura.it/recensione-tinte-fosche-enrico-de-luca/"" target=""_blank"">Recensione pubblicata originariamente sul mio blog Arte della Lettura</a><br/><em>Tinte</em> fosche è un libro molto particolare della Caravaggio Editore contenente 10 brevi racconti horror curati da Enrico De Luca (<a href=""https://www.artedellalettura.it/recensione-anne-di-tetti-verdi-lucy-montgomery/"" target=""_blank"" rel=""noopener noreferrer"">Anne di Tetti Verdi</a>) e 40 illustrazioni ad acquarello di Daniele Serra.<br/><br/>Non sono un grande appassionato dei racconti e raramente il genere horror mi coinvolge, perciò non avevo grandi aspettative per il contenuto di per sé. Mi interessava però lo stile di questo libro, scritto per far sì che anch'esso abbia una storia propria (niente spoiler!).<br/><br/>La qualità dell'edizione è elevata, soprattutto nel caso delle pagine con gli acquarelli, che utilizzano una carta speciale apposita. <em>Tinte fosche</em> utilizza un carattere in stile macchina da scrivere per tenere credibile la storia dietro a questo volume. Idea carina, ma che mi ha affaticato molto nella lettura non essendo abituato a leggere quel particolare font.<br/><h2><strong>Conclusioni</strong></h2><br/>Esperimento interessante, peccato che personalmente le storie horror mi annoiano.<br/><a href=""https://www.artedellalettura.it"" target=""_blank"">Altre recensioni sul mio blog Arte della Lettura</a>",,,1,,,0,,,,,
54420145,Gideon la Nona,Tamsyn Muir,"Muir, Tamsyn",Francesca Crescentini,"=""8804723637""","=""9788804723639""",4,4.20,Mondadori,Hardcover,456,2020,2019,2020/11/21,2020/11/15,,,read,"<a href=""https://www.artedellalettura.it/recensione-gideon-la-nona-tamsyn-muir/"" target=""_blank"">Recensione pubblicata originariamente sul mio blog Arte della Lettura</a><br/>Ho ricevuto questo libro gratuitamente. In nessun modo la mia valutazione è stata influenzata.<em>Gideon la Nona</em> è un libro che ha riscosso un notevole successo (o almeno così pare a vedere su <a href=""https://www.instagram.com/arte_della_lettura/"">Instagram</a>), quindi ho iniziato la lettura con aspettative molto alte, immaginandomi un libro al livelli di <em><a href=""https://www.artedellalettura.it/recensione-six-of-crows-bardugo/"">Six of Crows</a></em>. Purtroppo così non è stato, ma leggendolo con aspettative più adeguate si potrà apprezzare comunque.<br/><h3><strong>Trama</strong></h3><br/>La trama di base non sembra nulla di eccezionale, ma si sviluppa in modo costante e senza tempi morti, e l'autrice fa un buon utilizzo di colpi di scena e cambi di ritmo per rendere la lettura sempre interessante e mai noiosa.<br/><br/>Il finale è ben fatto, non lascia molto in sospeso ma mette le basi per il seguito della trilogia. Apprezzo i finali che concludono in modo deciso la trama dei libri, soprattutto nel caso delle saghe, e <em>Gideon la Nona</em> sotto questo aspetto non mi ha deluso.<br/><br/>Il romance è presente nel libro, ma mai in quantità eccessiva o nauseabonda.<br/><h3><strong>Personaggi</strong></h3><br/>Le protagoniste del libro sono Gideon, una ragazza la cui passione sono i combattimenti che ha lo scopo di entrare nell'esercito imperiale, e Harrowhark, una necromante a capo della Nona Casa (possiamo considerarlo un pianeta), dove vive anche Gideon. Le due ragazze sono caratterizzate discretamente bene, anche se a volte ho trovato l'umorismo di Gideon un po' troppo forzato in determinate situazioni, ma nulla di tragico.<br/><br/>Oltre a <em>Gideon la Nona</em> e ad Harrow ci sono però altri personaggi, un po' troppi per tenere traccia di tutti. Le altre 7 case presenti nel libro (non consideriamo la Prima Casa per ora) fanno parte della storia, ognuna con 2 personaggi ciascuna più un extra per una Casa. Solo i personaggi delle Case sono ora 17, senza contare le piccole comparse casuali di altre persone. Caratterizzare e distinguere così tanti soggetti diversi non è un compito facile, e infatti secondo me in questo caso non è stata una mossa ben riuscita. Ricordarsi nomi, caratteristiche e Casa di appartenenza di tutti diventa sin da subito estremamente complesso e l'utilizzo di sinonimi o abbreviazioni non aiuta di certo. Per gran parte della lettura mi sono sentito spaesato, come quando lessi per la prima volta <a href=""https://www.artedellalettura.it/recensione-il-trono-di-spade-edizione-illustrata/""><em>Il Trono di Spade</em></a>, con la differenza che in quel caso almeno avevo un albero genealogico.<br/><h3><strong>Wordlbuilding</strong></h3><br/>Purtroppo il worldbuilding è uno dei punti più carenti di questo libro, e dico purtroppo perché il potenziale era elevatissimo. Ci troviamo in un mondo fantasy, in un lontanissimo futuro non ben precisato, circondati da necromanti e altri tipi strambi di vario tipo, ma in tutto questo l'autrice non è riuscita ad estrapolare delle descrizioni sostanziose. Le informazioni sono carenti e vengono fornite a dosi microbiche.<br/><br/>Avrei davvero apprezzato un approfondimento maggiore. Probabilmente i libri successivi aiuteranno a definire meglio questo mondo, ma non posso giudicare un libro pensando agli sviluppi futuri dei suoi seguiti.<br/><h2><strong>Conclusioni</strong></h2><br/>Avevo enormi aspettative per via dell'hype generale che purtroppo non sono state soddisfatte, ma rimane comunque un'ottima lettura.<br/><a href=""https://www.artedellalettura.it"" target=""_blank"">Altre recensioni sul mio blog Arte della Lettura</a>",,,1,,,0,,,,,
20800349,È difficile essere un dio,Arkady Strugatsky,"Strugatsky, Arkady",Boris Strugatsky,"=""8871684095""","=""9788871684093""",0,4.18,Marcos y Marcos,Paperback,239,2005,1964,,2020/10/30,cant-finish,cant-finish (#5),read,"<a href=""https://www.artedellalettura.it/5-recensioni-brevi-di-libri-che-non-ho-finito/"" target=""_blank"">Recensione pubblicata originariamente sul mio blog Arte della Lettura</a><br/><br/><a href=""https://www.artedellalettura.it"" target=""_blank"">Altre recensioni sul mio blog Arte della Lettura</a>",,,0,,,0,,,,,
34112152,Il corpo che vuoi,Alexandra Kleeman,"Kleeman, Alexandra",Sara Reggiani,"=""8894833003""","=""9788894833003""",0,3.24,Edizioni Black Coffee,Paperback,304,2017,2015,,2020/04/12,cant-finish,cant-finish (#3),read,"<a href=""https://www.artedellalettura.it/5-recensioni-brevi-di-libri-che-non-ho-finito/"" target=""_blank"">Recensione pubblicata originariamente sul mio blog Arte della Lettura</a><br/><br/><a href=""https://www.artedellalettura.it"" target=""_blank"">Altre recensioni sul mio blog Arte della Lettura</a>",,,1,,,0,,,,,
45166032,Il gatto & gli stivali,Marta Leandra Mandelli,"Mandelli, Marta Leandra",,"=""8864901957""","=""9788864901954""",0,3.70,A.CAR. Edizioni,Paperback,328,2018,,,2019/06/30,cant-finish,cant-finish (#2),read,"<a href=""https://www.artedellalettura.it/5-recensioni-brevi-di-libri-che-non-ho-finito/"" target=""_blank"">Recensione pubblicata originariamente sul mio blog Arte della Lettura</a><br/><br/><a href=""https://www.artedellalettura.it"" target=""_blank"">Altre recensioni sul mio blog Arte della Lettura</a>",,,1,,,0,,,,,
